Common_Name,Scientific_Name,Taxonomic_Order,Count,State/Province,Location,Latitude,Longitude,Date,Time,Duration_Min,Al_Obs_Reported,Distance_Traveled_km,Number_of_Observers,Observation_Details,Checklist_Comments,year,month,Mes,day_name
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva De Castilla  (5,069, -75,504)",5.0688057,-75.5044872,2018-12-26,01:55 PM,92.0,1,0.29,1,Esta ave es común observarla en la área urbana en Manizales,Faltante,2018,12,Dec,Wednesday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,3,CO-CAL,"Reserva De Castilla  (5,069, -75,504)",5.0688057,-75.5044872,2019-10-20,10:17 AM,58.0,1,0.36,1,Faltante,Faltante,2019,10,Oct,Sunday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-06-03,07:41 AM,113.0,1,0.39,1,Faltante,Faltante,2018,6,Jun,Sunday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-08-29,10:41 AM,20.0,1,0.2,1,Faltante,Faltante,2018,8,Aug,Wednesday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,1,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-09-28,08:55 AM,47.0,1,0.2,1,Faltante,Faltante,2018,9,Sep,Friday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-11-18,06:57 AM,84.0,1,0.72,1,Estás palomas se encuentran de forma común en el área urbana,Faltante,2018,11,Nov,Sunday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,1,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-11-21,07:58 AM,154.0,1,1.05,1,Esta paloma es común observarla en el área urbana en Manizales,Faltante,2018,11,Nov,Wednesday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-11-22,08:48 AM,111.0,1,0.81,1,La paloma es común observarla en áreas urbanas en Manizales,Faltante,2018,11,Nov,Thursday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2019-01-02,09:49 AM,89.0,1,0.4,1,Es común observar estás aves en la parte urbana de Manizales,Faltante,2019,1,Jan,Wednesday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2019-01-08,03:45 PM,24.0,1,0.4,1,Es común observarlas en áreas urbanas,Faltante,2019,1,Jan,Tuesday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2019-02-27,08:32 AM,55.0,1,0.42,1,Es común observar estás aves en área urbana,Faltante,2019,2,Feb,Wednesday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2019-06-14,08:38 AM,109.0,0,0.87,1,Es común observarla en áreas urbanas,Faltante,2019,6,Jun,Friday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2020-05-08,08:00 AM,30.0,1,0.87,1,Faltante,Faltante,2020,5,May,Friday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,4,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2020-05-09,08:26 AM,13.0,1,0.23,2,Faltante,Faltante,2020,5,May,Saturday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,3,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2020-05-09,02:31 PM,15.0,1,0.23,1,Faltante,Faltante,2020,5,May,Saturday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2020-09-11,03:26 PM,14.0,1,0.23,2,Faltante,Faltante,2020,9,Sep,Friday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2020-10-05,12:57 PM,20.0,1,0.23,1,Faltante,Faltante,2020,10,Oct,Monday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-04-02,07:06 AM,26.0,1,0.23,1,Faltante,Faltante,2020,4,Apr,Thursday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,3,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-04-24,09:23 AM,12.0,1,0.09,1,Faltante,Faltante,2020,4,Apr,Friday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,3,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-05-03,08:54 AM,11.0,1,0.14,1,Faltante,Faltante,2020,5,May,Sunday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,1,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-06-06,10:26 AM,9.0,1,0.14,1,Faltante,Faltante,2020,6,Jun,Saturday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,7,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-07-19,03:08 PM,16.0,1,0.14,1,Faltante,Faltante,2020,7,Jul,Sunday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,1,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-09-18,12:54 PM,24.0,1,0.14,1,Faltante,Faltante,2020,9,Sep,Friday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-09-30,10:09 AM,20.0,1,0.14,2,Faltante,Faltante,2020,9,Sep,Wednesday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,2,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-10-03,06:32 AM,18.0,1,0.14,2,Faltante,Faltante,2020,10,Oct,Saturday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,6,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-10-13,12:51 PM,11.0,1,0.34,1,Faltante,Faltante,2020,10,Oct,Tuesday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,3,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-10-16,09:24 AM,12.0,1,0.34,1,Faltante,Faltante,2020,10,Oct,Friday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,1,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-10-17,02:13 PM,15.0,1,0.34,1,Faltante,Faltante,2020,10,Oct,Saturday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,5,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2021-01-06,12:55 PM,15.0,1,0.28,1,Faltante,Faltante,2021,1,Jan,Wednesday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,3,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2021-02-09,05:15 PM,15.0,1,0.28,4,Faltante,Faltante,2021,2,Feb,Tuesday
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1813,1,CO-CAL,Vereda Río Claro,4.997564,-75.551333,2019-11-10,06:00 AM,360.0,1,4.0,17,Faltante,Salida de observación durante el 8 Congreso de aviturismo,2019,11,Nov,Sunday
Pale-vented Pigeon,Patagioenas cayennensis,1885,1,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,449, -75,783)",4.4494862,-75.7830112,2018-12-06,06:53 AM,91.0,1,1.24,1,Faltante,Faltante,2018,12,Dec,Thursday
Pale-vented Pigeon,Patagioenas cayennensis,1885,1,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2018-12-17,06:45 AM,111.0,1,1.59,1,Faltante,Faltante,2018,12,Dec,Monday
Pale-vented Pigeon,Patagioenas cayennensis,1885,1,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497324,-75.7827578,2018-12-21,06:53 AM,105.0,1,1.32,1,Faltante,Faltante,2018,12,Dec,Friday
Pale-vented Pigeon,Patagioenas cayennensis,1885,1,CO-CAL,Hacienda El Jardin,4.9756538,-75.5822304,2019-11-09,06:12 AM,330.0,1,0.89,18,Faltante,Observacion alrededor de la Hacienda y comederos durante el 8° COngreso de Aviturismo,2019,11,Nov,Saturday
Band-tailed Pigeon,Patagioenas fasciata,1910,2,CO-CAL,"Colegio Semenor Calle 57-70 Carrera 22, Manizales, Caldas, CO (5,062, -75,491)",5.0622958,-75.4911357,2019-05-04,03:08 PM,142.0,0,1.5,7,Faltante,Faltante,2019,5,May,Saturday
Band-tailed Pigeon,Patagioenas fasciata,1910,19,CO-CAL,Eco Parque Alcazares Torre Y Comedero,5.067343,-75.528306,2019-12-14,07:28 AM,63.0,1,1.5,8,Faltante,Faltante,2019,12,Dec,Saturday
Band-tailed Pigeon,Patagioenas fasciata,1910,1,CO-CAL,Entrada Eco Parque Alcazares,5.0672921,-75.5281629,2019-12-14,06:16 AM,67.0,1,0.19,10,Faltante,Faltante,2019,12,Dec,Saturday
Band-tailed Pigeon,Patagioenas fasciata,1910,2,CO-CAL,Hacienda El Bosque,5.0224866,-75.3683513,2019-11-23,06:49 AM,236.0,1,2.3,1,Faltante,Faltante,2019,11,Nov,Saturday
Band-tailed Pigeon,Patagioenas fasciata,1910,5,CO-CAL,"Reserva De Castilla  (5,069, -75,504)",5.0688057,-75.5044872,2020-05-09,06:56 AM,15.0,1,2.3,2,Faltante,Faltante,2020,5,May,Saturday
Band-tailed Pigeon,Patagioenas fasciata,1910,1,CO-CAL,"Reserva De Castilla  (5,069, -75,504)",5.0688057,-75.5044872,2020-05-09,07:12 AM,14.0,1,2.3,2,Faltante,Faltante,2020,5,May,Saturday
Band-tailed Pigeon,Patagioenas fasciata,1910,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-05-05,07:32 AM,320.0,1,1.85,3,Faltante,"Caracterizando aves en el sector de residencia Conjunto reserva de Castilla en Manizales, Colombia",2018,5,May,Saturday
Band-tailed Pigeon,Patagioenas fasciata,1910,1,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-06-04,08:44 AM,1.0,1,1.85,1,Faltante,Faltante,2018,6,Jun,Monday
Band-tailed Pigeon,Patagioenas fasciata,1910,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-08-21,01:59 PM,90.0,1,1.85,2,Faltante,Faltante,2018,8,Aug,Tuesday
Band-tailed Pigeon,Patagioenas fasciata,1910,1,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-11-06,12:02 PM,34.0,1,0.42,1,Faltante,Faltante,2018,11,Nov,Tuesday
Band-tailed Pigeon,Patagioenas fasciata,1910,1,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2018-11-26,03:03 PM,102.0,1,0.47,1,Faltante,Faltante,2018,11,Nov,Monday
Band-tailed Pigeon,Patagioenas fasciata,1910,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2019-03-23,09:10 AM,43.0,1,0.4,1,Faltante,Faltante,2019,3,Mar,Saturday
Band-tailed Pigeon,Patagioenas fasciata,1910,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2019-04-02,09:25 AM,59.0,1,0.47,1,Faltante,Faltante,2019,4,Apr,Tuesday
Band-tailed Pigeon,Patagioenas fasciata,1910,2,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2020-05-05,09:01 AM,14.0,1,0.47,1,Se encuentran en la punta de un árbol,Faltante,2020,5,May,Tuesday
Band-tailed Pigeon,Patagioenas fasciata,1910,1,CO-CAL,"Reserva de Castilla - (5,069, -75,504)",5.068917,-75.504489,2020-05-08,08:00 AM,30.0,1,0.47,1,Faltante,Faltante,2020,5,May,Friday
Band-tailed Pigeon,Patagioenas fasciata,1910,1,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2019-09-25,11:29 AM,48.0,1,0.4,1,Faltante,Faltante,2019,9,Sep,Wednesday
Band-tailed Pigeon,Patagioenas fasciata,1910,1,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-05-03,08:54 AM,11.0,1,0.14,1,Faltante,Faltante,2020,5,May,Sunday
Band-tailed Pigeon,Patagioenas fasciata,1910,3,CO-CAL,"Reserva de Castilla- (5,069, -75,505)",5.0686785,-75.5047855,2020-05-07,07:58 AM,16.0,1,0.14,1,Faltante,Faltante,2020,5,May,Thursday
Ruddy Ground Dove,Columbina talpacoti,2200,2,CO-CAL,"Colegio Semenor Calle 57-70 Carrera 22, Manizales, Caldas, CO (5,062, -75,491)",5.0622958,-75.4911357,2018-10-26,07:33 AM,152.0,1,2.72,8,Faltante,Faltante,2018,10,Oct,Friday
Ruddy Ground Dove,Columbina talpacoti,2200,2,CO-CAL,"Colegio Semenor Calle 57-70 Carrera 22, Manizales, Caldas, CO (5,062, -75,491)",5.0622958,-75.4911357,2019-05-04,03:08 PM,142.0,0,1.5,7,Faltante,Faltante,2019,5,May,Saturday
Ruddy Ground Dove,Columbina talpacoti,2200,8,CO-QUI,"Conjunto Puertas Del Eden, Quindío, CO (4,451, -75,782)",4.4507702,-75.7821753,2018-12-19,04:59 PM,16.0,1,0.31,1,Faltante,Faltante,2018,12,Dec,Wednesday
Ruddy Ground Dove,Columbina talpacoti,2200,12,CO-QUI,"Conjunto Puertas del Edén - (4,449, -75,783)",4.4494239,-75.7832362,2018-12-05,06:49 AM,177.0,1,1.72,1,Faltante,Faltante,2018,12,Dec,Wednesday
Ruddy Ground Dove,Columbina talpacoti,2200,4,CO-QUI,"Conjunto Puertas del Edén - (4,449, -75,783)",4.4494239,-75.7832362,2018-12-07,09:34 AM,66.0,1,1.08,1,Faltante,Faltante,2018,12,Dec,Friday
Ruddy Ground Dove,Columbina talpacoti,2200,7,CO-QUI,"Conjunto Puertas del Edén - (4,449, -75,783)",4.4494239,-75.7832362,2018-12-08,07:10 AM,22.0,1,1.25,1,Faltante,Faltante,2018,12,Dec,Saturday
Ruddy Ground Dove,Columbina talpacoti,2200,15,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,449, -75,783)",4.4494862,-75.7830112,2018-12-03,01:10 PM,61.0,1,2.04,1,Faltante,Faltante,2018,12,Dec,Monday
Ruddy Ground Dove,Columbina talpacoti,2200,15,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,449, -75,783)",4.4494862,-75.7830112,2018-12-04,06:47 AM,75.0,1,1.46,1,Faltante,Faltante,2018,12,Dec,Tuesday
Ruddy Ground Dove,Columbina talpacoti,2200,8,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,449, -75,783)",4.4494862,-75.7830112,2018-12-06,06:53 AM,91.0,1,1.24,1,Faltante,Faltante,2018,12,Dec,Thursday
Ruddy Ground Dove,Columbina talpacoti,2200,5,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,449, -75,783)",4.4494862,-75.7830112,2018-12-07,06:44 AM,105.0,1,1.98,1,Faltante,Faltante,2018,12,Dec,Friday
Ruddy Ground Dove,Columbina talpacoti,2200,12,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,449, -75,783)",4.4494862,-75.7830112,2018-12-19,06:47 AM,114.0,1,1.49,1,Faltante,Faltante,2018,12,Dec,Wednesday
Ruddy Ground Dove,Columbina talpacoti,2200,12,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2018-12-17,06:45 AM,111.0,1,1.59,1,Faltante,Faltante,2018,12,Dec,Monday
Ruddy Ground Dove,Columbina talpacoti,2200,15,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2018-12-18,06:47 AM,84.0,1,1.41,1,Faltante,Faltante,2018,12,Dec,Tuesday
Ruddy Ground Dove,Columbina talpacoti,2200,11,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2018-12-18,01:14 PM,71.0,1,1.12,1,Faltante,Faltante,2018,12,Dec,Tuesday
Ruddy Ground Dove,Columbina talpacoti,2200,11,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2018-12-18,04:51 PM,45.0,1,0.64,1,Faltante,Faltante,2018,12,Dec,Tuesday
Ruddy Ground Dove,Columbina talpacoti,2200,9,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2018-12-20,06:46 AM,85.0,1,1.32,1,Faltante,Faltante,2018,12,Dec,Thursday
Ruddy Ground Dove,Columbina talpacoti,2200,15,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497324,-75.7827578,2018-12-21,06:53 AM,105.0,1,1.32,1,Faltante,Faltante,2018,12,Dec,Friday
Ruddy Ground Dove,Columbina talpacoti,2200,16,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497324,-75.7827578,2018-12-22,07:48 AM,66.0,1,0.92,1,Faltante,Faltante,2018,12,Dec,Saturday
Ruddy Ground Dove,Columbina talpacoti,2200,9,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2018-12-23,10:46 AM,5.0,1,0.36,1,Faltante,Faltante,2018,12,Dec,Sunday
Ruddy Ground Dove,Columbina talpacoti,2200,13,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2018-12-24,07:30 AM,38.0,1,1.31,1,Faltante,Faltante,2018,12,Dec,Monday
Ruddy Ground Dove,Columbina talpacoti,2200,7,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-04,06:46 AM,83.0,1,1.17,1,Faltante,Faltante,2019,2,Feb,Monday
Ruddy Ground Dove,Columbina talpacoti,2200,9,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-05,08:58 AM,24.0,1,0.39,1,Faltante,Faltante,2019,2,Feb,Tuesday
Ruddy Ground Dove,Columbina talpacoti,2200,6,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-06,06:46 AM,37.0,1,0.95,1,Faltante,Faltante,2019,2,Feb,Wednesday
Ruddy Ground Dove,Columbina talpacoti,2200,6,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-07,06:50 AM,46.0,1,1.05,1,Faltante,Faltante,2019,2,Feb,Thursday
Ruddy Ground Dove,Columbina talpacoti,2200,4,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-07,04:37 PM,35.0,1,0.48,1,Faltante,Faltante,2019,2,Feb,Thursday
Ruddy Ground Dove,Columbina talpacoti,2200,6,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-08,07:57 AM,34.0,1,0.76,1,Faltante,Faltante,2019,2,Feb,Friday
Ruddy Ground Dove,Columbina talpacoti,2200,11,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-09,03:32 PM,16.0,1,0.58,1,Faltante,Faltante,2019,2,Feb,Saturday
Ruddy Ground Dove,Columbina talpacoti,2200,11,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-10,05:07 PM,15.0,1,0.58,1,Faltante,Faltante,2019,2,Feb,Sunday
Ruddy Ground Dove,Columbina talpacoti,2200,7,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-11,04:35 PM,31.0,1,0.42,1,Faltante,Faltante,2019,2,Feb,Monday
Ruddy Ground Dove,Columbina talpacoti,2200,8,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-12,10:19 AM,19.0,1,0.42,1,Faltante,Faltante,2019,2,Feb,Tuesday
Ruddy Ground Dove,Columbina talpacoti,2200,7,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-13,04:51 PM,54.0,1,1.1,1,Faltante,Faltante,2019,2,Feb,Wednesday
Ruddy Ground Dove,Columbina talpacoti,2200,4,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-14,02:46 PM,25.0,1,0.47,1,Faltante,Faltante,2019,2,Feb,Thursday
Ruddy Ground Dove,Columbina talpacoti,2200,6,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-14,04:47 PM,38.0,1,0.38,1,Faltante,Faltante,2019,2,Feb,Thursday
Ruddy Ground Dove,Columbina talpacoti,2200,6,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-15,08:06 AM,35.0,1,0.87,1,Faltante,Faltante,2019,2,Feb,Friday
Ruddy Ground Dove,Columbina talpacoti,2200,7,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-02-16,12:26 PM,29.0,1,0.87,1,Faltante,Faltante,2019,2,Feb,Saturday
Ruddy Ground Dove,Columbina talpacoti,2200,12,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-04-15,08:56 AM,55.0,1,1.8,1,Faltante,Faltante,2019,4,Apr,Monday
Ruddy Ground Dove,Columbina talpacoti,2200,7,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-04-15,03:11 PM,36.0,1,1.91,1,Faltante,Faltante,2019,4,Apr,Monday
Ruddy Ground Dove,Columbina talpacoti,2200,11,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-04-16,12:39 PM,22.0,1,0.85,1,Faltante,Faltante,2019,4,Apr,Tuesday
Ruddy Ground Dove,Columbina talpacoti,2200,11,CO-QUI,"Conjunto Puertas del Edén, Quindío - (4,45, -75,783)",4.4497009,-75.7830913,2019-04-17,10:03 AM,17.0,1,0.86,1,Faltante,Faltante,2019,4,Apr,Wednesday
